"시점","항공사별(1)","도착출발별(1)",운항 (편),여객 (명),화물 (톤)
"2005.01","아시아나항공","도착",6613,791439,28012
"2005.01","아시아나항공","출발",6610,799835,29576
"2005.01","대한항공","도착",8869,1372897,70544
"2005.01","대한항공","출발",8870,1405847,78329
"2005.01","외항사","도착",3145,443386,28311
"2005.01","외항사","출발",3153,465228,36352
"2005.02","아시아나항공","도착",6015,724082,26138
"2005.02","아시아나항공","출발",6016,718841,27393
"2005.02","대한항공","도착",8156,1291693,63737
"2005.02","대한항공","출발",8150,1274556,69259
"2005.02","외항사","도착",2941,435287,26884
"2005.02","외항사","출발",2945,428719,31496
"2005.03","아시아나항공","도착",6489,746684,30633
"2005.03","아시아나항공","출발",6494,743906,33230
"2005.03","대한항공","도착",8787,1303117,78908
"2005.03","대한항공","출발",8788,1295698,86150
"2005.03","외항사","도착",3066,412264,32550
"2005.03","외항사","출발",3074,423836,39866
"2005.04","아시아나항공","도착",6664,867646,29840
"2005.04","아시아나항공","출발",6661,863199,31723
"2005.04","대한항공","도착",8925,1535151,72352
"2005.04","대한항공","출발",8915,1530577,80394
"2005.04","외항사","도착",3146,420367,31587
"2005.04","외항사","출발",3156,436063,37960
"2005.05","아시아나항공","도착",6938,864021,28236
"2005.05","아시아나항공","출발",6940,873066,30915
"2005.05","대한항공","도착",9266,1543162,68443
"2005.05","대한항공","출발",9267,1548483,77042
"2005.05","외항사","도착",3307,429002,30174
"2005.05","외항사","출발",3315,457055,38279
"2005.06","아시아나항공","도착",6417,797902,28439
"2005.06","아시아나항공","출발",6419,795762,30484
"2005.06","대한항공","도착",8690,1438455,69568
"2005.06","대한항공","출발",8692,1433498,76140
"2005.06","외항사","도착",3248,451976,31727
"2005.06","외항사","출발",3256,481661,37505
"2005.07","아시아나항공","도착",5487,668831,22259
"2005.07","아시아나항공","출발",5479,673970,23278
"2005.07","대한항공","도착",9166,1490712,72043
"2005.07","대한항공","출발",9175,1516239,78616
"2005.07","외항사","도착",3563,508230,34237
"2005.07","외항사","출발",3574,558877,42022
"2005.08","아시아나항공","도착",5186,731528,18799
"2005.08","아시아나항공","출발",5189,716372,20889
"2005.08","대한항공","도착",9577,1812855,72555
"2005.08","대한항공","출발",9565,1788081,80252
"2005.08","외항사","도착",3737,631826,34594
"2005.08","외항사","출발",3752,586869,42928
"2005.09","아시아나항공","도착",6135,708999,28270
"2005.09","아시아나항공","출발",6138,711260,31051
"2005.09","대한항공","도착",8771,1366183,72285
"2005.09","대한항공","출발",8775,1376114,79994
"2005.09","외항사","도착",3447,447984,31607
"2005.09","외항사","출발",3454,458489,39319
"2005.10","아시아나항공","도착",6555,863464,29698
"2005.10","아시아나항공","출발",6547,856744,32782
"2005.10","대한항공","도착",9227,1602740,76320
"2005.10","대한항공","출발",9229,1586732,86425
"2005.10","외항사","도착",3635,512149,33964
