"지역별(1)","시점","도착출발별(1)",운항 (편),여객 (명),화물 (톤)
"일본","2005.01","도착",1733,351340,16217
"일본","2005.01","출발",1736,379355,17319
"일본","2005.02","도착",1662,361438,16566
"일본","2005.02","출발",1655,343217,16572
"일본","2005.03","도착",1852,386047,18001
"일본","2005.03","출발",1850,387123,20934
"일본","2005.04","도착",1814,329543,18228
"일본","2005.04","출발",1803,322648,18723
"일본","2005.05","도착",1884,298119,16913
"일본","2005.05","출발",1893,317207,18993
"일본","2005.06","도착",1800,314513,18934
"일본","2005.06","출발",1798,325315,18447
"일본","2005.07","도착",1863,345051,18438
"일본","2005.07","출발",1868,361807,17962
"일본","2005.08","도착",1993,427062,17582
"일본","2005.08","출발",1991,400593,17412
"일본","2005.09","도착",1912,361911,19959
"일본","2005.09","출발",1911,368264,18263
"일본","2005.10","도착",2004,388373,20450
"일본","2005.10","출발",2001,395721,19973
"일본","2005.11","도착",1902,367460,20828
"일본","2005.11","출발",1902,371706,20575
"일본","2005.12","도착",1931,369083,21736
"일본","2005.12","출발",1924,355469,18723
"일본","2006.01","도착",1974,336596,18611
"일본","2006.01","출발",1968,371099,17770
"일본","2006.02","도착",1808,364116,19743
"일본","2006.02","출발",1806,345690,16761
"일본","2006.03","도착",2004,388065,21523
"일본","2006.03","출발",2008,389093,19740
"일본","2006.04","도착",1982,347294,20619
"일본","2006.04","출발",1979,351987,17666
"일본","2006.05","도착",2051,365983,19210
"일본","2006.05","출발",2051,373619,16387
"일본","2006.06","도착",2032,362729,20572
"일본","2006.06","출발",2034,372863,16359
"일본","2006.07","도착",2112,369303,20010
"일본","2006.07","출발",2107,393721,16204
"일본","2006.08","도착",2100,462082,20365
"일본","2006.08","출발",2097,434339,17494
"일본","2006.09","도착",2009,377163,20799
"일본","2006.09","출발",2006,398437,17465
"일본","2006.10","도착",2108,409562,20859
"일본","2006.10","출발",2111,407622,17482
"일본","2006.11","도착",2007,393029,21001
"일본","2006.11","출발",2006,396942,19745
"일본","2006.12","도착",2046,387532,22569
"일본","2006.12","출발",2046,375713,17388
