대여소,상태,주소,위도,경도
광진교 남단 사거리(디지털프라자앞),운영중,서울특별시 강동구 구천면로 171 376 남단사거리,37.541805,127.12471799999999
해공공원(천호동),운영중,서울특별시 강동구 올림픽로 702 265,37.545219,127.12591599999999
해공도서관앞,운영중,서울특별시 강동구 올림픽로 702 367,37.543915000000005,127.12545800000001
삼성광나루아파트 버스정류장,운영중,서울특별시 강동구 상암로3길 77 암사동 534,37.553349,127.12886
롯데캐슬 115동앞,운영중,서울특별시 강동구 양재대로 1665 명일동 304,37.55492,127.142799
암사동 선사유적지,운영중,서울특별시 강동구 올림픽로 875 암사동 139-2,37.559063,127.130646
암사역 3번출구(국민은행앞),운영중,서울특별시 강동구 올림픽로 지하 776 암사동 555,37.549549,127.127151
천호역4번출구(현대백화점),운영중,서울특별시 강동구 천호대로 지하 997 성내동 62-1,37.538658,127.124214
(구)합정동 주민센터,운영중,서울특별시 마포구 동교로8길 58 444-12,37.549561,126.905754
강동세무서,운영중,서울특별시 강동구 천호대로 1139 길동 467,37.534481,127.13834399999999
LIGA 아파트 앞,운영중,서울특별시 강동구 천호대로 1120 성내동 450-31,37.534771,127.13523899999998
서울 상운차량,운영중,서울특별시 강동구 올림픽로 610 성내동 93-34,37.536026,127.122726
강동구청역 1번 출입구,운영중,서울특별시 강동구 올림픽로 지하 550 1번 출입구,37.530772999999996,127.120926
강동구평생학습관앞,운영중,서울특별시 강동구 고덕로 295 명일동 320-2,37.5508,127.142624
샛마을 근린공원,운영중,서울특별시 강동구 구천면로 431-2 샛마을 근린공원,37.550079,127.14691200000001
해뜨는 주유소옆 리엔파크 109동앞,운영중,서울특별시 강동구 상일로 152 강일동 607-14,37.559399,127.171158
맥도날드(길동),운영중,서울특별시 강동구 천호대로 1207 맥도날드(길동),37.535472999999996,127.145172
둔촌 주공 GS 맞은편,운영중,서울특별시 강동구 양재대로 1330 둔촌동 541-6,37.524681,127.135406
다성이즈빌아파트(호원대 대각선 맞은편),운영중,서울특별시 강동구 성내로 91 다성이즈빌아파트(호원대 대각선 맞은편),37.526825,127.130028
망원역 1번출구 앞,운영중,서울특별시 마포구 월드컵로 72 475-54,37.555649,126.910629
강동경찰서,운영중,서울특별시 강동구 성내로 57 강동경찰서,37.528290000000005,127.126801
강일동 리슈빌 빌딩앞,운영중,서울특별시 강동구 아리수로 419 강일동 306-7,37.564301,127.17395
길동 사거리(초소앞),운영중,서울특별시 강동구 양재대로 1441 성내동 379-41,37.533764,127.13803100000001
한국종합기술사옥 앞,운영중,서울특별시 강동구 상일동 504 상일동 삼성엔지니어링 앞,37.549999,127.17468999999998
강동구청 앞,운영중,서울특별시 성내동 546-3 강동구청 앞,37.529251,127.123108
상일초등학교,운영중,서울특별시 상일동 440-3 상일초등학교,37.546841,127.17251599999999
대명초교 입구 교차로,운영중,서울특별시 명일동 59 대명초교 입구 교차로,37.546631,127.15588400000001
프라자 아파트 앞,운영중,서울특별시 길동 176-3 프라자 아파트 앞,37.535999,127.147697
포레스 주상복합 빌딩,운영중,서울특별시 성내동 119-2 포레스 주상복합 빌딩,37.5331,127.12278
롯데 시네마,운영중,서울특별시 성내동 44-1 롯데 시네마,37.536541,127.12539699999999
망원역 2번출구 앞,운영중,서울특별시 마포구 월드컵로 79 378-18,37.554951,126.910835
미호 플랜트 앞,운영중,서울특별시 성내동 478 미호 플랜트 앞,37.527060999999996,127.12207
암사동 CBIS,운영중,서울특별시 암사동 440-13 암사동 CBIS,37.555851000000004,127.129898
선사고등학교,운영중,서울특별시 암사동 445 선사고등학교,37.556728,127.13620800000001
고덕동 아남아파트,운영중,서울특별시 고덕동 673 고덕동 아남아파트,37.557990999999994,127.14470700000001
고덕동 래미안 힐스테이트,운영중,서울특별시 고덕동 603 고덕동 래미안 힐스테이트,37.561909,127.150749
고덕역 4번출구,운영중,서울특별시 명일동 46-5 고덕역 4번출구,37.555015999999995,127.155273
고덕동 주양쇼핑,운영중,서울특별시 명일동 48-2 고덕동 주양쇼핑,37.551998,127.153297
강일 6단지,운영중,서울특별시 강일동 448-2 강일 6단지,37.562588,127.17761200000001
강일 다솜 어린이 공원,운영중,서울특별시 강일동 333-2 강일 다솜 어린이 공원,37.568668,127.174797
고덕초등학교,운영중,서울특별시 고덕동 215 고덕초등학교,37.561279,127.167801
합정역 1번출구 앞,운영중,서울특별시 마포구 양화로 59 393-7,37.550629,126.91498600000001
강일동 에너지 마루,운영중,서울특별시 고덕동 375 강일동 에너지 마루,37.5672,127.16346000000001
묘곡초등학교,운영중,서울특별시 고덕동 499-2 묘곡초등학교,37.559196,127.153297
5단지 사이,운영중,서울특별시 강일동 63-20 강일 2.5단지 사이,37.568562,127.177002
굽은다리역,운영중,서울특별시 양재대로 1572 굽은다리역,37.545398999999996,127.142601
건강보험 강동지사kt,운영중,서울특별시 강동구 천호대로175길 39 건강보험 강동지사kt,37.536381,127.137253
동부기업(둔촌동),운영중,서울특별시 강동구 진황도로 172 동부기업,37.531013,127.14236499999998
강일동 10단지 아파트,운영중,서울특별시 강동구 고덕로97길 20 강일동 10단지 아파트,37.56118,127.18026699999999
합정역 5번출구 앞,운영중,서울특별시 마포구 양화로 48 394-95,37.550007,126.914825
둔촌역 3번 출입구,운영중,서울특별시 강동구 양재대로 1355 둔촌역 3번 출입구,37.526695000000004,127.135529
양지시장 (용성약국앞) 입구,운영중,서울특별시 강동구 고덕로 109 양지시장 (용성약국앞) 입구,37.554829,127.137321
리싸이클시티,운영중,서울특별시 강동구 동남로 930 리싸이클시티,37.556469,127.15682199999999
동명근린공원 진입로 (아리수로),운영중,서울특별시 강동구 아리수로 324 동명근린공원 진입로 (아리수로),37.562538,127.164528
말우물 어린이 공원,운영중,서울특별시 강동구 상일로21길 14-7 말우물 어린이 공원,37.560009,127.169579
강일리엔파크 7~11단지,운영중,서울특별시 강동구 아리수로98길 25 강일리엔파크 7~11단지,37.563332,127.179092
능골근린공원,운영중,서울특별시 강동구 상일로12길 60 능골근린공원,37.55579,127.173813
고덕숲 아이파크 1,운영중,서울특별시 강동구 고덕로80길 134 고덕숲 아이파크,37.553471,127.165001
레미안 강동팰리스(102동),운영중,서울특별시 강동구 천호대로 1077 레미안 강동팰리스(102동),37.538181,127.131752
합정역 7번출구 앞,운영중,서울특별시 마포구 독막로 4 381-1,37.548645,126.91282700000001
천일초교 사거리,운영중,서울특별시 강동구 구천면로 275 천일초교 사거리,37.544659,127.13263700000002
천호초교 입구 사거리(일주빌딩),운영중,서울특별시 강동구 구천면로 304 일주빌딩,37.546928,127.134621
고덕숲 아이파크 2,운영중,서울특별시 강동구 고덕로80길 134 고덕숲 아이파크,37.551079,127.162621
신한은행 서교동금융센터점 앞,운영중,서울특별시 마포구 월드컵북로 35 449-28,37.55751,126.918503
서교동 사거리,운영중,서울특별시 마포구 양화로 93 427,37.552746,126.918617
제일빌딩 앞,운영중,서울특별시 마포구 어울마당로 26 12-2,37.547691,126.919983
사천교,운영중,서울특별시 서대문구 홍제천로 11 446-92,37.568199,126.917847
개화동상사마을종점 버스정류장,운영중,서울특별시 강서구 개화동로5길 3-8 강서구 개화동 424-2,37.581612,126.798599
방화사거리 마을버스 버스정류장,운영중,서울특별시 강서구 양천로17길 6 강서구 방화동 769-23,37.573643,126.811806
방화역 4번출구앞,운영중,서울특별시 강서구 금낭화로 135 강서구 방화동 829-8,37.577221,126.81219499999999
방화근린공원,운영중,서울특별시 강서구 금낭화로 176 강서구 방화동 855,37.581623,126.812653
신방화사거리,운영중,서울특별시 강서구 방화대로 342 신방화 사거리,37.573032,126.816452
공항시장역 1번출구,운영중,서울특별시 강서구 방화동로 지하 30 강서구 방화동 612-249,37.563559999999995,126.81015
공항시장역 4번출구,운영중,서울특별시 강서구 방화동로 지하 30 강서구 공항동 산20-2,37.563347,126.81048600000001
상수역 2번출구 앞,운영중,서울특별시 마포구 와우산로 40 309-10,37.547871,126.92353100000001
공항중학교앞,운영중,서울특별시 강서구 방화대로 241 공항중학교 앞,37.562683,126.81623799999998
